Unicode,Image
U+4E16,126
U+4E2D,180
U+4E43,115
U+4E4B,292
U+4E8B,108
U+4EA5,115
U+4EAC,116
U+4EBA,131
U+4F5C,101
U+4FAF,103
U+4FE1,180
U+5143,114
U+5149,149
U+516C,191
U+5176,268
U+51FA,117
U+5217,101
U+5289,120
U+52DD,101
U+5357,138
U+5370,292
U+537F,101
U+539F,107
U+53D4,118
U+53D7,131
U+541B,170
U+5468,143
U+5609,103
U+570B,182
U+5728,109
U+5730,114
U+5802,127
U+58FD,272
U+590F,162
U+5929,224
U+5949,123
U+5982,131
U+5B50,299
U+5B5D,107
U+5B5F,134
U+5B6B,177
U+5B89,193
U+5BB6,202
U+5BB9,102
U+5BD2,112
U+5BE7,107
U+5BF3,125
U+5C04,107
U+5C07,103
U+5C0A,184
U+5C0D,150
U+5C71,148
U+5E2B,128
U+5E38,104
U+5E73,165
U+5E74,241
U+5E9A,102
U+5EF6,106
U+5F35,256
U+5F90,122
U+5F97,124
U+5F9E,103
U+5FB7,122
U+620E,102
U+6210,220
U+6211,148
U+6240,113
U+62DC,145
U+63DA,142
U+6562,138
U+6587,165
U+65B0,101
U+65B9,187
U+65E5,117
U+660C,103
U+660E,159
U+6625,125
U+662F,101
U+66F8,143
U+6708,167
U+674E,114
U+6A02,134
U+6B21,111
U+6B66,174
U+6B78,110
U+6C0F,112
U+6C11,105
U+6C38,203
U+6E38,115
U+7121,233
U+7235,102
U+7236,114
U+7384,162
U+7389,111
U+738B,107
U+751F,126
U+7528,150
U+767D,114
U+76F8,104
U+7AE0,137
U+7B95,139
U+7FA9,164
U+80FD,101
U+826F,148
U+82E5,104
U+83EF,134
U+842C,238
U+864E,134
U+897F,103
U+8A00,214
U+8D99,105
U+8ECD,106
U+8FB0,102
U+8FB2,111
U+904E,104
U+9053,158
U+91D1,181
U+9418,115
U+9577,396
U+9580,121
U+9670,149
U+9673,120
U+967D,149
U+96F2,140
U+98A8,129
U+98DB,136
U+9996,139
U+99AC,167
U+9B6F,116
U+9CF3,115
U+9EC4,105
U+9F0E,126
U+9F4B,168
U+9F8D,152
U+5546,105
U+5BF6,161
U+79C1,103
U+73E4,123
